artista,nombre,ironhacker,letra
Kid Cudi,Immortal,1123075332,"[Intro]
21
I feel like the motherfuckin' Grim Reaper
The biggest smoke blower
Put a motherfuckin' chimney on my stick

[Verse 1]
Brand new MAK-90 with the drum attached (Drum)
You a shit talker, we got drums for that (On God)
Tryna fist fight? Boy, you dumb for that (Stupid)
You gon' get a bullet in your lung for that (Stupid)
Draco get to kickin' like Liu Kang (21)
F&N on me in the Mulsanne (Straight up, straight up)
Glock 19 in the Blue Flame (Straight up, straight up)
I was strapped when I slid inside your boo thang (On God)
21 immortal, we'll never die (21)
Loyal to my brothers (Yeah), I'll never lie (On God)
Call me bird dog 'cause I cheat and I'm fly (Straight up)
And I love winnin', I'm upset if it's a tie (On God)
Get you off the ground just to knock you to the floor (Yeah)
Let's go blow for blow (Yeah), let's go toe to toe (Straight up)
When it's time to battle, they don't never ever show (21)
When it's time to battle, I'm the first one at the door (21)
At the door with a Draco
Don't nobody move, I don't wanna have to blow
Rappin' ass niggas get spinned at they show
That's why I need some help, I got a fetish for the smoke
It get fatal in the bottom, used to rumble in the den (21)
Hit him with a combo, gotta finish him (21)
AK make you frown since you think you wanna grin (Straight up)
Seems like all the models just be fallin' in my DM's (Yeah)
Coolant on the TEC, it get hot like Scorpion (Hot)
I'll burn his ass, lil' buster
You thought it was straight, I got some chemicals in this magazine
I'll perm his ass (Mark ass nigga)
Wanna be a gangster, but he misguided (Bitch)
I'll learn his ass (On God, nigga)
He went against me and they called 9-1-1 (21)
They had to infirm' his ass (You gon' be next, nigga)
""How many tops you done got popped?"" Whole bunch
""How many times you ran from the smoke?"" Nigga, not once
Eastside nigga fuckin' all the hoes, and I love guns
Ain't no fucking diamonds in my mouth, nigga, these gold fronts
And we known to handle all the business, nigga, ASAP
Had her at the slaughterhouse, how the fuck you cape that?
Ain't no body shots, nigga, you know I told him face that
Now he in the ocean, heard they hit him in his wave cap
You took your shot and you missed it (21)
I just beat it up and you kissed it (Ugh)
Took the rap game and I milked it (Yeah)
Took the rap beef and I killed it
Neck all froze like Sub Zero, dawg (Straight up)
He wifed a thot, he a hero, dawg (Straight up)
All I care about is my dinero, dawg (On God)
Only thing I'm chasing is dineros, dawg (Straight up)
Dread-headed killer like Cyrax (21)
Brought a gun to a fist fight like Jax (Pew-pew-pew-pew-pew)
Nah, fuck that, only thing scare me is a rat (Snitch)
Slaughter Gang, pick your poison, dagger or the axe (Straight up)
Stand-up guy, they respect my mind (On God)
If you foul out, get a tech', my nine (Straight up)
If you ain't a hundred, don't text my line (Lil' bitch)
If you know you hatin', don't check my Live (Snitch)

[Chorus]
You know I'm Slaughter Gang so the smoke is immortal
Ain't nothin' changed, I'll slaughter your daughter
She said she was a dime, but her friend was a quarter
I had a threesome, then I flushed the rubber down the toilet
She tried to give me head, it was boring
Codeine got a nigga snoring
I wonder if she would've slept with the poor me
Savage keep a Draco and it corn beef

[Verse 2]
Chopper cut you up like Kitana (Ching-ching)
My chopper in the band, it's a drummer (Drumroll)
Russell Westbrook, I was strikin' like the Thunder (Woah, woah)
You was somewhere runnin' 'round whinin' to your mama (21)
Y'all play conservative, we gon' send a blitz (Straight up)
I'm the type to catch a tech', foul, hit him in his shit (On God)
He think he a made man, hit him in the head (Pussy)
Don't you try to run now, hit him in the leg (Rraow)
People wanna say the stuff I say, but they be scared (Pussy)
Jab turn a lightskin pretty boy red (21)
It's a fatality if you try to handle me (Yeah)
Real top shotta, don't you ever try to ramp with me (On God)
Got enough bullets that could kill your whole camp with me (Rrah)
I was bad as hell in school, they even tried to counsel me (21)
I don't like to talk, don't you try to tongue-wrestle me (On God)
And my block good, you'll never get the best of me (Straight up)

[Chorus]
You know I'm Slaughter Gang so the smoke is immortal
Ain't nothin' changed, I'll slaughter your daughter
She said she was a dime, but her friend was a quarter
I had a threesome, then I flushed the rubber down the toilet
She tried to give me head, it was boring
Codeine got a nigga snoring
I wonder if she would've slept with the poor me
Savage keep a Draco and it corn beef"
Old Spice,El Virilcico,12135676007,"[Letra de ""El Villancico de los Pobres""]

[Intro]
En estas fechas señaladas os deseo
A todos y a todas que seáis felices
Por que el resto del año cada vez que os veo
Bajo la mascara siento tus ojos tristes

Pero mira como beben los peces en el río
Esa frase me ha rayao' desde crío
¿Pero enserio, los peces beben cuando están ahí metidos?
Aun no lo he resolvio'

Salir de fiesta en noche vieja y volver el día tres
Por que en burrito sabanero tuve que ir a belén
Y si me ve esa policía me detiene
Me hacen soplar en el burro y se me llevan los papeles
Las bolas y el arbolito el champan los villancicos
Los mantecaos', el marisco, la rebeca esa de abuela
El gorrito con la bola, los petardos y panderetas
Por mi te los puedes meter por donde quieras que te quepa

Navidad, blanca navidad
A mi que soy un agarrao' y no me gusta gastar
La verdad es que sufro en navidad
Te regalo esta canción, así que no me pidas más
Aunque estemos en navidad, blanca navidad
A mi que soy un agarrao' y no me gusta gastar
La verdad es que sufro en navidad
Te regalo esta canción, así que no me pidas más
Ho, ho, ho, Foyone en la casa

A mi no me deséis feliz navidad
Que tengo cero en el banco, na' de na' puedo comprar
Además siempre en estas fechas yo me suelo resfriar
To'l día con el moquillo y la garganta destroza'
Ah, en mi ciudad no hay muñecos de nieve
Pero se quedan muñecos al meterse lo que no deben
Que le den al de la barba aquí somos mas de los reyes
Nunca he visto un reno pero a un camello muchas veces
El año que viene vas a dejar el tabaco
Te vas a puntar al gimnasio pa' que tos te vean guapo
Y el día 1 en el estanco estas comprándote un paquete
Comiendo una pizza, de postre unos donnetes, ah

Bueno que sepáis que no hay regalos
Tengo un puesto fijo pero en la cola del paro
Claro que pa'l 2020 voy a ser el presidente
Las navidades siguientes va a ver de todo pa' mi gente

Navidad, blanca navidad
A mi que soy un agarrao' y no me gusta gastar
La verdad es que sufro en navidad
Te regalo esta canción, así que no me pidas más
Aunque estemos en navidad, blanca navidad
A mi que soy un agarrao' y no me gusta gastar
La verdad es que sufro en navidad
Te regalo esta canción, así que no me pidas más"
Malú,Invisible,e0q1xrcn5p77job8m2nye7w88,"[Verse 1]
Crowded hallways are the loneliest places
For outcasts and rebels
Or anyone who just dares to be different
And you've been trying for so long
To find out where your place is
But in their narrow minds
There's no room for anyone who dares to do something different
Oh, but listen for a minute

[Chorus]
Trust the one
Who's been where you are wishing all it was
Was sticks and stones
Those words cut deep, but they don't mean you're all alone
And you're not invisible
Hear me out
There's so much more to life than what you're feeling now
Someday you'll look back on all these days
And all this pain is gonna be invisible
Oh, invisible

[Verse 2]
So your confidence is quiet
To them, quiet looks like weakness
But you don't have to fight it
'Cause you're strong enough to win without a war
Every heart has a rhythm
Let yours beat out so loudly
That everyone can hear it
Yeah, I promise you don't need to hide it anymore
Oh, and never be afraid of doing something different
Dare to be something more

[Chorus]
Trust the one
Who's been where you are wishing all it was
Was sticks and stones
Yeah, the words cut deep, but they don't mean you're all alone
And you're not invisible
Hear me out
There's so much more of this life than what you're feeling now
And someday you'll look back on all these days
And all this pain is gonna be invisible

[Bridge]
These labels that they give you
Just 'cause they don't understand
If you look past this moment
You'll see you've got a friend
Waving a flag for who you are
And all you're gonna do
Yeah, so here's to you
And here's to anyone who's ever felt invisible

[Final Chorus]
Yeah
And you're not invisible
Hear me out
There's so much more to life than what you're feeling now
And someday you'll look back on all these days
And all this pain is gonna be invisible
It'll be invisible"
Residente,Rap Bruto,e0q1xrcn5p77job8m2nye7w88,"[Letra de “Rap Bruto”]

[Verso 1: Nach]
Mi escuela tiene alma y tablas
Va con sudaderas viejas, con las Nikes sucias y la barba larga
No necesita efectos para adornar lo que habla
Rapea lo que vea, os tirotea en dos palabras
Yo empecé rapeando simple, con un sample y temple
El hobby de un adolescente dura para siempre
Un pro desde los 15, y no se rinde, entiende
Que pone en venta sus canciones, pero no se vende
Crónico insolente que usa balas de saliva
Mi escuela nunca fue tendencia, pero sigue viva
Tenemos iniciativa, perspectiva
Si algo no nos motiva, subimos el dedo del medio arriba
Hablo de mi equipo, esos tipos que quitan el hipo
Mitos que lanzan cada escrito al infinito
Otros actuando crazy y yo cerrando el pico
Más cerca de Kase que de Jay-Z, no sé si me explico
Tengo a mi clan siguiendo un plan para ganarse el pan
Tengo a mis fans buscando paz, en mí la encontrarán
Tanto charlatán sin más afán que el famoseo
Troceo al holgazán como un croissant cuando lo veo
Es fácil su música infantil, inútil; la mía es táctil
No habrá bandera blanca en este mástil
Sé que el rapper de actitud nazi y hostil es frágil
Mezclo mi mente con TNT, sale algo así tan ágil
Como delfines, sus fines no me definen
No times si no lo vives, no opines
No subestimes este nombre
Nach rima sublime, es algo enorme, dime
¿A cuánto torpe fulminé junto a su Melodyne?
Dejo que rimen, veo que se hinchan y se pinchan
Son muchas dianas para mi flecha
Piensan en su hucha y no en la lucha
Van sin antorcha, sin mecha
Les echan pronto, porque pronto se han pasa'o de fecha
Soy hombre de palabra, no me hables de números
Sus canciones secas, mis fraseos húmedos
Sinceros, sin peros, sin treguas
Sin pelos la lengua que os lame
Mi mierda es tan seria como un derrame
Ven que les electrocuto y disfruto
No hay sustituto si escupo ocho minutos de absoluto rap bruto
No me inmuto si no sueno en radios, yo sueno en barrios
Mis hombres le echan huevos, mis hembras le echan ovarios
Pero hay termitas que imitan, me irrita
Buscan visitas y guita
Gritan y gritan, se excitan
Luego sin más se marchitan
Mi música es dinamita
Los decapita, les quita su ego
Luego es normal que dimitan
Llego, les hiero, soy puro veneno
Cuando me acelero me cuelo en su juego, los hundo
Soy como el hielo
Congelo sus celos, su fe en el dinero, los tumbo
Los encadeno, les lanzo mi trueno sin freno
Sueno y retumbo, así de rotundo
Quiero solo verdaderos guerreros salvando a mi mundo

[Estribillo: Nach & Residente]
Mucha selva, poco tigre
Mucha pólvora, poco calibre
Hijo de puta, tírame a mí
No puedes con Nach y Residente
Mucha selva, poco tigre
Mucha pólvora, poco calibre
Hijo de puta, tírame a mí
No puedes con Nach y Residente

[Verso 2: Residente]
Yo, yo, yo no tengo escuela
Sin que soplara el viento aprendí a navegar barcos de vela
Mi rima encima de una cumbia comoquiera impacta
No sigo ninguna escuela porque soy autodidacta
Nunca seguí las reglas con pistas de rap genéricas
Con un cajón peruano escribí Latinoamérica
Mi rap no sigue órdenes de ningún sargento
Hijo de puta, yo creé mi propio movimiento
Que narra y sin garras te desgarra
No crecí escuchando a 2Pac, crecí con Violeta Parra
Y cuando deletreo los educo sin pizarra
Con sólo dos barras, las rockeo sin guitarra
No creo en dioses del rap, mucho menos en reyes
Yo soy la fucking gravedad desafiando las leyes
Yo soy el orden, pero cuando se desarregla
Todas mis líneas son curvas, siempre rompo las reglas
Acostado bajo la sombra de una palma, relajado
Compitiendo contra mí mismo porque no tengo a nadie al lado
Me gusta abusar de los raperos fresa
Les dejo la ""R"" en las nalgas impresa antes de bajarme esta cerveza
Fácilmente los torturo
Solo les quito el Instagram y vuelven a ser inseguros
Tu moda no creo que dure
Las quinceañeras que te siguen hoy
Ya no te seguirán cuando maduren
Mucha selfie y poco contenido
Se tardan más en el vestuario que haciendo prueba de sonido
Sus conciertos son todos iguales
Pocas rimas, poca banda
Muchos fuegos artificiales
No se me escapan cuando escribo
Son fáciles de identificar porque se visten con colores llamativos
A estos raperitos nunca les he visto la cara
Siempre los veo de espalda
Cuando los pongo en 4 y les subo la falda (Woo)
Y me los follo por los dos hoyos
Sin apoyo los arrollo, al estilo criollo
Los convierto en caldo de pollo
La policía me busca por acoso sexual y por perverso
Porque como Kase.O, soy un violador del verso
Y la voleo, porque con las dos piernas pateo
En el freestyleo, de'de el tiro libre la dunkeo
Y sin rodeo, cuando me cabreo, con mi palabreo
Pongo a hablar en árabe hasta los hebreos
A veces le meto tan rápido que el alfabeto no lo veo
A los del maleanteo los abofeteo
Como novela de abuela sin empleo
Mi lengua se tira acrobacias nunca antes vistas
Es malabarista, toda una artista
Y como Michael Jackson hace el MoonWalking por la pista
No hay quién resista al Residente
Cuando los baja caliente, los pongo de rodillas literalmente
Como a los creyentes en el medio oriente
Arrodíllate y reza
Soy un talibán, rimando corto cabeza con mi destreza
Les quito el corazón con la boca y lo pongo en la mesa
Encima de pan y hamburguesa con mayonesa
Salsa japonesa y un poco de jugo de fresa
Me los desayuno, mi lengua nunca se tropieza
Cuando se expresa, los atraviesa con naturaleza
Mi sopa de letras empieza
Abran la represa
Que llegó la pieza que falta en el rompecabeza

[Estribillo: Nach & Residente]
Mucha selva, poco tigre
Mucha pólvora, poco calibre
Hijo de puta, tírame a mí
No puedes con Nach y Residente
Mucha selva, poco tigre
Mucha pólvora, poco calibre
Hijo de puta, tírame a mí
No puedes con Nach y Residente

[Outro]
Con Nach y Residente
Trooko
Con Nach y Residente"
Melendi,Caminando por la vida,21dmspwi7jlyoyksp6kiyekhy,"Letra de ''Caminando por la vida''

[Estrofa 1]
Huele a aire de primavera
Tengo alergia en el corazón
Voy cantando por la carretera
De copiloto llevo el sol

Y a mí no me hace falta estrella
Que me lleve hasta tu portal
Como ayer estaba borracho
Fui tirando migas de pan

[Estribillo]
Voy caminando por la vida, sin pausa, pero sin prisas
Procurando no hacer ruido, vestio' con una sonrisa, sin complejo ni temores
Canto rumbas de colores
Y el llorar no me hace daño siempre (y) cuando tú no llores

[Estrofa 2]
Y el Milindri a mí me llaman
En el mundillo calé
Porque al coger mi guitarra
Se me van solos los pies

Y este año le pido al cielo (ay, vámonos)
La salud del anterior
No necesito dinero
Voy sobrao' en el amor

[Estribillo]
Voy caminando por la vida, sin pausa, pero sin prisas
Procurando no hacer ruido, vestio' con una sonrisa, sin complejo ni temores
Canto rumbas de colores
Y el llorar no me hace daño siempre (y) cuando tú no llores, ay

[Puente]
Y no quiero amores, no correspondidos
No quiero guerras
No quiero amigos
Que no me quieran sin mis galones

No me tires flores
Ni falsas miradas de inexpresión
Que no dicen nada
Del corazón que me las propone

[Estribillo]
Porque voy caminando por la vida, sin pausa, pero sin prisas
Procurando no hacer ruido, vestio' con una sonrisa, sin complejo ni temores
Canto rumbas de colores
Y el llorar no me hace daño siempre (y) cuando tú no llores, ay"
Gianluca Vacchi,Viento,21dmspwi7jlyoyksp6kiyekhy,"[Letra de ""Viento""]

[Verso 1]
Préstame tu peine y péiname el alma
Desenrédame fuera de este mundo
Dime que no estoy soñándote
Enséñame de qué estamos hechos

[Pre-Coro]
Que quiero brincar planetas
Hasta ver uno vacío
Que quiero irme a vivir
Pero que sea contigo

[Coro]
Viento amárranos
Tiempo detente muchos años
Viento amárranos
Tiempo detente muchos años

[Verso 2]
Préstame tu peine y péiname el alma
Purifícame, no me abandones
Préstame tu sueño y duérmeme
Embrújame, volvámonos eternos

[Pre-Coro]
Que quiero brincar planetas
Hasta ver uno vacío
Que quiero irme a vivir
Pero que sea contigo

[Coro]
Viento amárranos
Tiempo detente muchos años
Viento amárranos
Tiempo detente muchos años

[Outro]
Viento amárranos
Tiempo detente muchos años
Viento..."
Justin Quiles,Loco,21dmspwi7jlyoyksp6kiyekhy,"[Intro]
Hated the most, so I keep my haters close
Let 'em know I want the smoke
So much bread I gotta boast
This burner turn you into toast
I'm so G, I don’t keep that pistol on me
Ay, I'll beat yo ass you try to press that issue on me
Ay, I keep a stash under all these zippers on me
I got bitches blowin' like I got a whistle on me

[Chorus]
Ay, can’t stop getting paper
Ay, can’t stop rollin papers
Ay, LSD and coca
Ay, live la vida loca
Ay, she gone feed me grapes
Ay, we don’t go on dates
Ay, got a man at home, but she love the way I taste

[Verse 1]
Tatted on my choker
Shoppin' sprees at Dover
I ain’t stopping shit till I’m 70 years older
Slap me if I’m sober
Yea, yea, yea, come over
Fucked two girls that looked like Tina Fey and Amy Poehler
[Refrain]
Back shot, back shot, back shot, back shot, right behind the backdrop
Can’t stop, can’t stop, can’t stop, can’t stop turnin' up like mascots
Matlock, Matlock, Matlock, Matlock want me in them padlocks
I hope you got a plan, catch me if you can hoe

[Verse 2]
Yea hoe, can’t get jammed hoe, I’ll be damned hoe
Yea hoe, I’m the man hoe, from the Land hoe
Yea hoe, out them bandos, to these bands hoe
Sandals for my fam though - 3, 2, 1, takeoff
Jets round the world with them
And you know we gotta fly with the herb with them
In the town, I’m a chief like turbo and them
Shouts for the flow G Herbo and them
I just got the cell phone workin' again
I just got the styrofoam purple again
Never make threats non-verbal again
You already know how I'm lurkin' again
Gunna

[Refrain]
Back shot, back shot, back shot, back shot, right behind the backdrop
Can’t stop, can’t stop, can’t stop, can’t stop turnin' up like mascots
Matlock, Matlock, Matlock, Matlock want me in them padlocks
I hope you got a plan, catch me if you can hoe
[Chorus]
Ay, can’t stop getting paper
Ay, can’t stop rollin papers
Ay, LSD and coca
Ay, live la vida loca
Ay, she gone feed me grapes
Ay, we don’t go on dates
Ay, got a man at home, but she love the way I taste
Ay, can’t stop getting paper
Ay, can’t stop rollin papers
Ay, LSD and coca
Ay, live la vida loca
Ay, she gone feed me grapes
Ay, we don’t go on dates
Ay, got a man at home, but she love the way I taste"
Guns N' Roses,Welcome To The Jungle,11100941802,"[Intro]
Oh my God
Jump

[Verse 1]
Welcome to the jungle, we got fun and games
We got everything you want, honey, we know the names
We are the people that can find whatever you may need
If you got the money, honey, we got your disease

[Chorus 1]
In the jungle, welcome to the jungle
Watch it bring you to your shun-n-n-n-n-n-n-n-n-n-n-n, knees, knees
Mwah, ah, I wanna watch you bleed

[Verse 2]
Welcome to the jungle, we take it day by day
If you want it you're going to bleed, but it's the price you pay
And you're a very sexy girl, it's very hard to please
You can taste the bright lights, but you won't get there for free

[Chorus 2]
In the jungle, welcome to the jungle
Feel my, my, my, my serpentine
Oh, ah, I wanna hear you scream

[Interlude]
Moaning

[Verse 3]
Welcome to the jungle, it gets worse here everyday
You learn to live like an animal in the jungle where we play
If you got a hunger for what you see, you'll take it eventually
You can have anything you want, but you better not take it from me

[Chorus 1]
In the jungle, welcome to the jungle
Watch it bring you to your shun-n-n-n-n-n-n-n-n-n-n-n, knees, knees
Mwah, I wanna watch you bleed

[Bridge]
And when you're high, you never
Ever want to come down
So down, so down, so down, yeah

[Guitar Solo]

[Segue]
You know where you are?
You're in the jungle, baby
You're gonna die

[Chorus Extended]
In the jungle, welcome to the jungle
Watch it bring you to your shun-n-n-n-n-n-n-n-n-n-n-n, knees, knees
In the jungle, welcome to the jungle
Feel my, oh my, my, my serpentine
Jungle, welcome to the jungle
Watch it bring you to your shun-n-n-n-n-n-n-n-n-n-n-n, knees, knees

[Outro]
In the jungle, welcome to the jungle
Watch it bring you to your, it's going to bring you down, huh"
Sum 41,The Hell Song,11100941802,"[Verse 1]
Everybody's got their problems
Everybody says the same things to you
It's just a matter how you solve them
And knowing how to change the things you've been through
I feel I've come to realize
How fast life can be compromised
Step back to see what's going on
I can't believe this happened to you
(This happened to you)

[Verse 2]
It's just a problem that I'm faced with; am I
Not the only one who hates to stand by?
Complications that are first in this line
With all these pictures running through my mind
Knowing endless consequences
I feel so useless in this
Get back, step back, and as for me
I can't believe

[Chorus]
Part of me, won't agree
Cause I don't know if it's for sure
Suddenly, suddenly
I don't feel so insecure
Part of me, won't agree
Cause I don't know if it's for sure
Suddenly, suddenly
I don't feel so insecure anymore

[Verse 3]
Everybody's got their problems
Everybody says the same things to you
It's just a matter how you solve them
But what else are we supposed to do?

[Chorus]
Part of me, won't agree
Cause I don't know if it's for sure
Suddenly, suddenly
I don't feel so insecure
Part of me, won't agree
Cause I don't know if it's for sure
Suddenly, suddenly
I don't feel so insecure anymore

[Outro]
Why do things that matter the most
Never end up being what we chose
Now that I find no way so bad
I don't think I knew what I had
Why do things that matter the most
Never end up being what we chose
Now that I find no way so bad
I don't think I knew what I had"
Despistaos,Mi accidente preferido (con Juancho Sidecars y Sidecars),21dmspwi7jlyoyksp6kiyekhy,"He dejado de llorar y hacerme el fuerte
Por si acaso te conviertes en invierno
Buscaremos una excusa para vernos
Mándame un mensaje y dime donde puedo recogerte

Te prometo que no me pondré nervioso
Ni hablaré sobre esta vida tan injusta
Comeremos eso que tanto te gusta
Como hacíamos en esos años tan maravillosos

Volveremos a llenar este vacío
Fingiré que no te has ido que aprendiste a perdonar
Consecuencias derivadas de haber sido
Mi accidente preferido nunca te voy a olvidar

Ha pasado tanto tiempo de aquel día
Que escapaste de ese mundo de mentiras
Donde es fácil conseguir lo que tu quieres
Donde nunca te dejaron convertirte en lo que eres

Volveremos a llenar este vacío
Fingiré que no te has ido que aprendiste a perdonar
Consecuencias derivadas de haber sido
Mi accidente preferido nunca te voy a olvidar

Dime donde vas que te acompaño
Que se está haciendo largo este tiempo indefinido
Y es demasiado tarde para darme por vencido
Perdóname si he hecho algo que te hiciera daño
Te necesito tanto
Volveremos a llenar este vacío
Fingiré que no te has ido que aprendiste a perdonar
Consecuencias derivadas de haber sido
Mi accidente preferido nunca te voy a olvidar"
Zion & Lennox,Otra vez (feat. J Balvin),21dmspwi7jlyoyksp6kiyekhy,"[Letra de ""Otra Vez"" ft. J Balvin]

[Intro: Zion, J Balvin & Lennox ]
(El sólo verte me dan ganas, eh)
(Precisamente en Cartagena; eh-eh, ay)
Infinity
Después de tanto me buscas
¿Por qué será?
¿Por qué a mi?, yeah
No te puedes ir sin contestar esa pregunta
¿Qué es lo que quieres?
¿Qué necesidad es la que tienes?

[Coro: Zion, Zion & J Balvin, Lennox]
Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer, yeah
(La ""Z"" y la ""L"")

[Verso 1: Lennox]
El sólo verte me dan ganas
De viajar al pasado y rescatar (Brrr; yeah)
Esos momentos que tú y yo compartimos (Sup, sup, sup)
Las ganas de rumbear
Eran noches de nunca terminar (Ay)
Vivíamos en una fantasía, pero era real (De verdad)

[Pre-Coro: Lennox]
Lo que sentimos (Mamacita; lo que sentimos)
Lo que hicimos (Toma; lo que hicimos)
No e' casualidad que nos viéramos en la misma disco (Ah)
Aprovechemos que nos vimos (Ajá)
Lo que sentimos (Mamacita; lo que sentimos)
Lo que hicimos (Ah, ah)
No e' casualidad que nos viéramos en la misma disco
Dale mami, que nos fuimos

[Coro: J Balvin]
Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer (J Balvin, man)

[Verso 2: J Balvin & Lennox]
Hoy vuelve a aparecer bajo la luna llena, sirena
Precisamente en Cartagena
Déjame revivir esto, es un placer
Ba-Ba-Baila que la noche es tuya, que el ritmo intuya
Pónle picante, que el amor fluya
Nos dimos cuenta que no había un final
Esto no tiene porque terminar (Ouh, ouh; de verdad)

[Pre-Coro: J Balvin, Lennox, J Balvin & Zion]
Lo que sentimos (Mamacita)
Lo que hicimos (Toma que toma)
No es casualidad que nos viéramos en la misma disco
Aprovechemos que nos vimos (Ajá)
Lo que sentimos (Mamacita)
Lo que hicimos (Ah, ah)
No es casualidad que nos viéramos en la misma disco
Dale mami, que nos fuimos

[Coro: Zion, Zion & J Balvin]
Para seducirme otra vez
Besarme otra vez
Volverme a poner el mundo al revés
Pa' besarte como ayer
Sentirte otra vez
Me vuelves a poner el mundo al revés, como ayer, yeah

[Outro: Zion, J Balvin & Lennox]
Chq-chq-chq-chq-chq-chq
Z Diddy
J Balvin, man
Zion, baby
La ""Z"" y la ""L""
Y Lennox
Leggo'
J Balvin
Sky Rompiendo El Bajo
Mo-Mo-Mosty
Bull Nene
Infinity
Leggo'
Infinity Music (Para seducirme otra vez)
Baby Records (Besarme otra vez)
(Volverme a poner el mundo al revés, como ayer, yeh)
La ""Z"" y la ""L"""
Camilo,Millones,21dmspwi7jlyoyksp6kiyekhy,"[Letra de ""Millones""]

[Verso 1]
Tú debes ser ingeniera
Porque qué bien te quedó el puente entre tu boca y la mía
Si hubieras sido por mí ni me atrevería (Mmm)
Haberte dado ese beso
Que me ha cambiado la vida
Tú debes ser cirujana
Porque del pecho me curaste lo que a mí me dolía (Tú me curaste)
Y me arreglaste el corazón sin dejarme una herida
Dime por qué te entregaste a quien no te merecía

[Coro]
¿Por qué yo si en este mundo hay millones?
¿Por qué yo si tienes tantas opciones?
Dime por qué conmigo (¿Por qué?), si no tiene sentido (No, no)
Me gusta que cuando hablas de tu futuro estoy incluido (Yeh)
¿Por qué yo si en este mundo hay millones? (Muchos mejores)
¿Por qué yo si tienes tantas opciones? (Millones)
Dime por qué conmigo (¿Por qué?), si yo no te merezco (No, no, no, no, no, no, no)
Porque al hombre perfecto yo ni un poquito me le parezco

[Post-Coro]
Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo, si hay mi-llo-llo-llo-llones, millones
Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo, si hay millones, millones
[Verso 2]
(Camilo, hmm-mmm)
Por ti me veo las series que no me gustan (Yeh)
Te tiro en Uber Eats lo que te gusta (Sí)
Y dejo que tú elijas la temperatura (Yeh-eh-eh)
Pa' que se me congelen el pelo y las uñas
Yeah-eh, que yo por ti todo lo apuesto (Todo)
Tú brillas diferente al resto (Mhm)
Para siempre tú tendrás el primer puesto (Número uno)
Ay, tú conoces todos mis defectos (Todos)
Estabas cuando no hubo presupuesto (No, no, no)
Contigo yo me fui a la cima
Tú me subes la autoestima
Y hasta de mis chistes malos tú te ríes (Jajaja, jajaja)
Tú eres mi porrista, mi cheerleader (Yeah, yeah, yeah)

[Coro]
¿Por qué yo si en este mundo hay millones? (Ay, dime por qué)
¿Por qué yo si tienes tantas opciones? (Hay muchos)
Dime por qué conmigo (¿Por qué, por qué?), si no tiene sentido (No, no, no, no)
Me gusta que cuando hablas de tu futuro estoy incluido (¿Por qué yo estoy ahí?)
¿Por qué yo si en este mundo hay millones? (Millones mejores que yo)
¿Por qué yo si tienes tantas opciones? (Más guapos)
Dime por qué conmigo (Más plata), si yo no te merezco (No, no, no, no, no)
Porque al hombre perfecto yo ni un poquito me le parezco
[Post-Coro]
Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo, si hay mi-llo-llo-llo-llones, millones
Ay, dime por qué yo-yo-yo-yo-yo
Yo-yo-yo-yo, si hay millones, millones

[Outro]
No, no, no, no, no, no, no
Camilo, mmm-mmm
La Tribu, eh
Yeh-eh-eih
Yeh-eh"
